,movie_name,imdb_id,release_date,cast,direction,production_companies,movie_budget,movie_revenue,film_series,film_series_cluster,cast_similarity
0,The Marvels,tt10676048,2023-11-08,"{'Brie Larson': 'Carol Danvers / Captain Marvel', 'Teyonah Parris': 'Monica Rambeau', 'Iman Vellani': 'Kamala Khan / Ms. Marvel', 'Zawe Ashton': 'Dar-Benn', 'Park Seo-jun': 'Prince Yan', 'Samuel L. Jackson': 'Nick Fury', 'Gary Lewis': ""Emperor Dro'ge"", 'Zenobia Shroff': 'Muneeba Khan', 'Mohan Kapur': 'Yusuf Khan', 'Saagar Shaikh': 'Aamir Khan', 'Lashana Lynch': 'Maria Rambeau / Binary', 'Leila Farzad': 'Talia', 'Abraham Popoola': 'Dag', 'Daniel Ings': 'Ty-Rone', 'Kya Garwood': 'Awed Kree Soldier', 'Tessa Thompson': 'King Valkyrie', 'Hailee Steinfeld': 'Kate Bishop', 'Kelsey Grammer': ""Dr. Henry 'Hank' McCoy / Beast (voice)"", 'Akira Akbar': 'Monica Rambeau (11 Years Old) (archive footage) (uncredited)', 'Jude Law': 'Yon-Rogg (archive footage) (uncredited)', 'Annette Bening': 'Dr. Wendy Lawson (archive footage) (uncredited)'}",['Nia DaCosta'],"['Marvel Studios', 'Kevin Feige Productions']",274800000,108998133,0,9,1.0
1,Guardians of the Galaxy Vol. 3,tt6791350,2023-05-03,"{'Chris Pratt': 'Peter Quill / Star-Lord', 'Zoe Saldaña': 'Gamora', 'Dave Bautista': 'Drax the Destroyer', 'Karen Gillan': 'Nebula', 'Pom Klementieff': 'Mantis', 'Vin Diesel': 'Groot (voice)', 'Bradley Cooper': 'Rocket (voice)', 'Sean Gunn': 'Kraglin / Young Rocket (voice)', 'Chukwudi Iwuji': 'The High Evolutionary', 'Will Poulter': 'Adam Warlock', 'Maria Bakalova': 'Cosmo (voice)', 'Elizabeth Debicki': 'Ayesha', 'Sylvester Stallone': 'Stakar Ogord', 'Stephen Blackehart': 'Steemie Blueliver', 'Terence Rosemore': 'Xlomo Smeth', 'Sarah Alami': 'Ssssaralami', 'Nico Santos': 'Recorder Theel', 'Miriam Shor': 'Recorder Vim', 'Linda Cardellini': 'Lylla', 'Asim Chaudhry': 'Teefs', 'Mikaela Hoover': 'Floor', 'Judy Greer': 'War Pig (voice)', 'Tara Strong': 'Mainframe (voice)', 'Michael Rosenbaum': 'Martinex', 'Molly C. Quinn': 'Molly Ravager', 'Gerardo Davila': 'Fitz-Gibbonok', 'Dee Bradley Baker': 'Blurp (voice)', 'Jennifer Holland': 'Administrator Kwol', 'Nathan Fillion': 'Master Karja', 'Benjamin Byron Davis': 'Bletelsnort', 'Tiffany Smith': 'Orgocorp Host Friniki', 'Daniela Melchior': 'Ura', 'Renae Moneymaker': 'Violent Orgosentry', 'Darla Delgado': 'Neelie', 'Randy Havens': 'Till', 'Kai Zen': 'Phyla', 'Lloyd Kaufman': 'Gridlemop (voice)', 'Seth Green': 'Howard the Duck (voice)', 'Christopher Fairbank': 'Broker', 'Natalia Safran': 'Controller', 'Michael Rooker': 'Yondu Udonta', 'James Gunn': 'Lamb-Shank (voice)', 'Pete Davidson': 'Phlektik', 'Karen Abercrombie': 'Grandma Quill', 'Gregg Henry': 'Grandpa Quill', 'Clare Grant': 'Crying Krylorian Citizen'}",['James Gunn'],"['Marvel Studios', 'Kevin Feige Productions']",250000000,845430302,9,2,0.8230592060696383
2,Spider-Man: No Way Home,tt10872600,2021-12-15,"{'Tom Holland': 'Peter Parker / Spider-Man', 'Zendaya': ""Michelle 'MJ' Jones"", 'Benedict Cumberbatch': 'Stephen Strange / Doctor Strange', 'Jacob Batalon': 'Ned Leeds', 'Jon Favreau': ""Harold 'Happy' Hogan"", 'Jamie Foxx': 'Max Dillon / Electro', 'Willem Dafoe': 'Norman Osborn / Green Goblin', 'Alfred Molina': 'Dr. Otto Octavius / Doctor Octopus', 'Benedict Wong': 'Wong', 'Tony Revolori': ""Eugene 'Flash' Thompson"", 'Marisa Tomei': 'May Parker', 'Andrew Garfield': 'Peter Parker / Spider-Man', 'Tobey Maguire': 'Peter Parker / Spider-Man', 'Angourie Rice': 'Betty Brant', 'Arian Moayed': 'Agent Cleary', 'Paula Newsome': 'MIT Assistant Vice Chancellor', 'Hannibal Buress': 'Coach Wilson', 'Martin Starr': 'Mr. Harrington', 'J.B. Smoove': 'Mr. Dell', 'J.K. Simmons': 'J. Jonah Jameson', 'Rhys Ifans': 'Dr. Curt Connors / The Lizard', 'Charlie Cox': 'Matt Murdock', 'Thomas Haden Church': 'Flint Marko / Sandman', 'Rudy Eisenzopf': 'Arena Bystander', 'Gary Weeks': 'Agent Foster', 'Glenn Keogh': 'British Reporter', 'Jwaundace Candece': 'Damage Control Agent', 'Tom Hardy': 'Eddie Brock / Venom (uncredited)', 'Jake Gyllenhaal': 'Mysterio / Quentin Beck (archive footage) (uncredited)', 'Harry Holland': 'Shaker Kid (uncredited)'}",['Jon Watts'],"['Marvel Studios', 'Pascal Pictures', 'Columbia Pictures']",200000000,1921847111,5,7,0.5495190353610622
3,Avengers: Infinity War,tt4154756,2018-04-25,"{'Robert Downey Jr.': 'Tony Stark / Iron Man', 'Chris Hemsworth': 'Thor Odinson', 'Mark Ruffalo': 'Bruce Banner / Hulk', 'Chris Evans': 'Steve Rogers / Captain America', 'Scarlett Johansson': 'Natasha Romanoff / Black Widow', 'Benedict Cumberbatch': 'Stephen Strange / Doctor Strange', 'Tom Holland': 'Peter Parker / Spider-Man', 'Chadwick Boseman': ""T'Challa / Black Panther"", 'Don Cheadle': ""James 'Rhodey' Rhodes / War Machine"", 'Zoe Saldaña': 'Gamora', 'Karen Gillan': 'Nebula', 'Elizabeth Olsen': 'Wanda Maximoff / Scarlet Witch', 'Paul Bettany': 'Vision', 'Anthony Mackie': 'Sam Wilson / Falcon', 'Sebastian Stan': ""James 'Bucky' Barnes / Winter Soldier"", 'Tom Hiddleston': 'Loki', 'Idris Elba': 'Heimdall', 'Danai Gurira': 'Okoye', 'Peter Dinklage': 'Eitri', 'Benedict Wong': 'Wong', 'Pom Klementieff': 'Mantis', 'Dave Bautista': 'Drax', 'Vin Diesel': 'Groot (voice)', 'Bradley Cooper': 'Rocket (voice)', 'Gwyneth Paltrow': ""Virginia 'Pepper' Potts"", 'Benicio del Toro': 'Taneleer Tivan / The Collector', 'Josh Brolin': 'Thanos', 'Chris Pratt': 'Peter Quill / Star-Lord', 'Sean Gunn': 'On-Set Rocket', 'William Hurt': ""Secretary of State Thaddeus 'Thunderbolt' Ross"", 'Letitia Wright': 'Shuri', 'Terry Notary': 'Cull Obsidian / On-Set Groot', 'Tom Vaughan-Lawlor': 'Ebony Maw', 'Carrie Coon': 'Proxima Midnight (voice)', 'Stan Lee': 'Bus Driver', 'Winston Duke': ""M'Baku"", 'Florence Kasumba': 'Ayo', 'Kerry Condon': 'Friday (voice)', 'Monique Ganderton': 'On-Set Proxima Midnight', 'Jacob Batalon': 'Ned Leeds', 'Tiffany Espensen': 'Cindy', 'Ethan Dizon': 'Tiny', 'Ariana Greenblatt': 'Young Gamora', 'Ross Marquand': 'Johann Schmidt / Red Skull (Stonekeeper)', 'Stephen McFeely': ""Secretary Ross' Aide"", 'Aaron Lazar': 'Doctor Strange Double', 'Robert Pralgo': 'Thanos Reader', 'Matthew Zuk': 'Street Pedestrian #2', 'Kenneth Branagh': 'Asgardian Distress Call (voice) (uncredited)', 'Samuel L. Jackson': 'Nick Fury (uncredited)', 'Cobie Smulders': 'Maria Hill (uncredited)', 'Harrison Osterfield': 'Boy on Bus (uncredited)'}","['Anthony Russo', 'Joe Russo']",['Marvel Studios'],300000000,2052415039,6,1,0.7795691640699092
4,Ant-Man and the Wasp: Quantumania,tt10954600,2023-02-15,"{'Paul Rudd': 'Scott Lang / Ant-Man', 'Evangeline Lilly': 'Hope van Dyne / The Wasp', 'Jonathan Majors': 'Kang the Conqueror', 'Kathryn Newton': 'Cassie Lang', 'Michelle Pfeiffer': 'Janet van Dyne', 'Michael Douglas': 'Dr. Hank Pym', 'Corey Stoll': 'M.O.D.O.K.', 'Bill Murray': 'Lord Krylar', 'William Jackson Harper': 'Quaz', 'David Dastmalchian': 'Veb (voice)', ""Katy O'Brian"": 'Jentorra', 'Randall Park': 'Jimmy Woo', 'Ross Mullan': ""Axia Restaurant Maitre D'"", 'Russell Balogh': 'Nomad Leader', 'Patricia Belcher': 'Ant-Man Fan', 'Ruben Rabasa': 'Café Owner', 'Gregg Turkington': 'Dale', 'Ryan Bergara': 'Toasting Man', 'Marielle Scott': 'Toasting Woman', 'Dey Young': 'Woman with Dog', 'Alan Heitz': 'Waitstaff', 'Roger Craig Smith': 'Quantumnaut Voices (voice)', 'Matthew Wood': 'Quantumnaut Voices (voice)', 'Tom Hiddleston': 'Loki (uncredited)', 'Owen Wilson': 'Mobius M. Mobius (uncredited)', 'Abby Ryder Fortson': 'Cassie Lang (archive footage) (uncredited)'}",['Peyton Reed'],"['Marvel Studios', 'Kevin Feige Productions']",200000000,476071180,4,4,0.5462674434358488
5,Black Panther: Wakanda Forever,tt9114286,2022-11-09,"{'Letitia Wright': 'Shuri / Black Panther', ""Lupita Nyong'o"": 'Nakia', 'Danai Gurira': 'Okoye', 'Winston Duke': ""M'Baku"", 'Dominique Thorne': 'Riri Williams / Ironheart', 'Tenoch Huerta Mejía': 'Namor', 'Angela Bassett': 'Ramonda', 'Florence Kasumba': 'Ayo', 'Michaela Coel': 'Aneka', 'Mabel Cadena': 'Namora', 'Lake Bell': 'Dr. Graham', 'Robert John Burke': 'Smitty', 'Danny Sapani': 'Border Tribe Elder', 'Isaach De Bankolé': 'River Tribe Elder', 'Connie Chiume': 'Zawavari', 'Martin Freeman': 'Everett Ross', 'Julia Louis-Dreyfus': 'Valentina Allegra de Fontaine', 'Richard Schiff': 'U.S. Secretary of State', 'Michael B. Jordan': ""N'Jadaka / Erik 'Killmonger' Stevens"", 'Sope Aluko': 'Sope the Shaman', 'Trevor Noah': 'Griot (voice)', 'Shawn Roberts': 'WDG Scientist', 'Gigi Bermingham': 'French Secretary of State', 'Justin James Boykin': 'Cargo Ship Helo Pilot', 'Anderson Cooper': 'Anderson Cooper', 'Alan Wells': 'Federal Agent', 'Sal Lopez': 'Yucatan Elder', 'Irma Estella La Guerre': ""Namor's Mother (Older)"", 'Juan Carlos Cantu': 'Friar', 'Chadwick Boseman': ""T'Challa / Black Panther (archive footage) (uncredited)""}",['Ryan Coogler'],['Marvel Studios'],250000000,859102154,3,10,0.25741769407939286
6,Thor: Love and Thunder,tt10648342,2022-07-06,"{'Chris Hemsworth': 'Thor Odinson', 'Natalie Portman': 'Jane Foster / The Mighty Thor', 'Christian Bale': 'Gorr', 'Tessa Thompson': 'King Valkyrie', 'Taika Waititi': 'Korg / Old Kronan God (voice)', 'Jaimie Alexander': 'Sif', 'Russell Crowe': 'Zeus', 'Chris Pratt': 'Peter Quill / Star-Lord', 'Karen Gillan': 'Nebula', 'Dave Bautista': 'Drax', 'Pom Klementieff': 'Mantis', 'Sean Gunn': 'Kraglin / On-Set Rocket', 'Vin Diesel': 'Groot (voice)', 'Bradley Cooper': 'Rocket (voice)', 'Idris Elba': 'Heimdall', 'Kat Dennings': 'Darcy Lewis', 'Brett Goldstein': 'Hercules', 'Stellan Skarsgård': 'Erik Selvig', 'Luke Hemsworth': 'Actor Thor', 'Matt Damon': 'Actor Loki', 'Sam Neill': 'Actor Odin', 'Melissa McCarthy': 'Actor Hela', 'Ben Falcone': 'Asgardian Stage Manager', 'Stephen Curry': 'King Yakan', 'Simon Russell Beale': 'Dionysus', 'Jonny Brugh': 'Rapu', 'Brooke Satchwell': 'Indigarrian Woman Glenda', 'Elsa Pataky': 'Wolf Woman', 'Eliza Matengu': ""Grace (Axl's Mother)"", 'Alan Dukes': 'US Delegate', 'Nico Cortez': 'Aztec God', 'Priscilla Doueihy': 'Artemis God', 'Indiana Evans': 'Zeusette', 'Ava Caryofyllis': 'Young Jane', 'Ben Sinclair': 'Science Friend', 'Zachary Levi': 'Fandral (archive footage) (uncredited)', 'Ray Stevenson': 'Volstagg (archive footage) (uncredited)', 'Tadanobu Asano': 'Hogun (archive footage) (uncredited)', 'Tom Hiddleston': 'Loki (archive footage) (uncredited)'}",['Taika Waititi'],"['Marvel Studios', 'Kevin Feige Productions']",250000000,760928081,2,3,0.42677144018425694
7,The Avengers,tt0848228,2012-04-25,"{'Robert Downey Jr.': 'Tony Stark / Iron Man', 'Chris Evans': 'Steve Rogers / Captain America', 'Mark Ruffalo': 'Bruce Banner / The Hulk', 'Chris Hemsworth': 'Thor Odinson', 'Scarlett Johansson': 'Natasha Romanoff / Black Widow', 'Jeremy Renner': 'Clint Barton / Hawkeye', 'Tom Hiddleston': 'Loki', 'Samuel L. Jackson': 'Nick Fury', 'Cobie Smulders': 'Agent Maria Hill', 'Clark Gregg': 'Agent Phil Coulson', 'Stellan Skarsgård': 'Erik Selvig', 'Gwyneth Paltrow': ""Virginia 'Pepper' Potts"", 'Paul Bettany': 'Jarvis (voice)', 'Alexis Denisof': 'The Other', 'Tina Benko': 'NASA Scientist', 'Jerzy Skolimowski': 'Georgi Luchkov', 'Rashmi Rustagi': 'Calcutta Woman', 'Powers Boothe': 'World Security Council', 'Jenny Agutter': 'World Security Council', 'Arthur Darbinyan': 'World Security Council', 'Donald Li': 'World Security Council', 'Warren Kole': 'Carrier Bridge Tech', 'Alicia Sixtos': 'Carrier Bridge Tech', 'Jesse Garcia': 'Carrier Bridge Techs', 'Maximiliano Hernández': 'Agent Jasper Sitwell', 'Kenneth Tigar': 'German Old Man', 'Walter Perez': 'Young Shield Pilot', 'Harry Dean Stanton': 'Security Guard', 'Ashley Johnson': 'Waitress', 'Robert Clohessy': 'Police Sergeant', 'Enver Gjokaj': 'Young Cop', 'Jamie McShane': 'Celebration Montage Interviewee', 'Kelley Robins Hicks': 'Celebration Montage Interviewee', 'Romy Rosemont': 'Shawna Lynde', 'James Eckhouse': 'Senator Boynton', 'Stan Lee': 'Stan Lee', 'Damion Poitier': 'Man #1', 'Lou Ferrigno': 'The Hulk (voice) (uncredited)', 'Mayank Bhatter': 'Celebration Montage Man Shaving Beard (uncredited)', 'Sean Meehan': 'Guard (uncredited)', 'Colin Strause': 'Shield Agent #4 (uncredited)', 'Tai Urban': 'Child on News #1 (uncredited)', 'Tina Grimm': 'NYC Pedestrian (uncredited)', 'Hank Amos': 'Shield Agent (uncredited)'}",['Joss Whedon'],['Marvel Studios'],220000000,1518815515,6,1,1.0
8,Captain Marvel,tt4154664,2019-03-06,"{'Brie Larson': 'Carol Danvers / Vers / Captain Marvel', 'Samuel L. Jackson': 'Nick Fury', 'Ben Mendelsohn': 'Talos / Keller', 'Jude Law': 'Yon-Rogg', 'Annette Bening': 'Supreme Intelligence / Dr. Wendy Lawson', 'Djimon Hounsou': 'Korath', 'Lee Pace': 'Ronan the Accuser', 'Lashana Lynch': 'Maria Rambeau', 'Gemma Chan': 'Minn-Erva', 'Clark Gregg': 'Agent Phil Coulson', 'Rune Temte': 'Bron-Charr', 'Mckenna Grace': 'Young Carol (13 Years Old)', 'Akira Akbar': 'Monica Rambeau (11 Years Old)', 'Matthew Maher': 'Norex', 'Chuku Modu': 'Soh-Larr', 'Vik Sahay': 'Hero Torfan', 'Colin Ford': 'Steve Danvers', 'Kenneth Mitchell': 'Joseph Danvers', 'Stephen A. Chang': 'Cadet Officer', 'Pete Ploszek': 'Bret Johnson', 'Diana Toshiko': 'Skrull Tech #1', 'Marilyn Brett': 'Older Lady on Train', 'Stan Lee': 'Stan Lee', 'Robert Kazinsky': 'Biker (The Don)', 'Nelson Franklin': 'Medical Examiner', 'Patrick Brennan': 'Bartender', 'Patrick Gallagher': 'Security Chief', 'Ana Ayora': 'Agent Whitcher', 'Matthew Bellows': 'Accuser #1', 'Duane Henry': 'Talos-Kree Soldier', 'Chris Evans': 'Steve Rogers / Captain America (uncredited)', 'Scarlett Johansson': 'Natasha Romanoff / Black Widow (uncredited)', 'Don Cheadle': ""James 'Rhodey' Rhodes / War Machine (uncredited)"", 'Mark Ruffalo': 'Bruce Banner / The Hulk (uncredited)', 'Anthony Molinari': 'S.H.I.E.L.D. Agent (uncredited)'}","['Ryan Fleck', 'Anna Boden']",['Marvel Studios'],152000000,1131416446,0,9,1.0
9,Doctor Strange in the Multiverse of Madness,tt9419884,2022-05-04,"{'Benedict Cumberbatch': 'Dr. Stephen Strange / Sinister Strange / Defender Strange', 'Elizabeth Olsen': 'Wanda Maximoff / The Scarlet Witch', 'Chiwetel Ejiofor': 'Baron Karl Mordo', 'Benedict Wong': 'Wong', 'Xochitl Gomez': 'America Chavez', 'Jett Klyne': 'Tommy Maximoff', 'Julian Hilliard': 'Billy Maximoff', 'Sheila Atim': 'Sara', 'Michael Stuhlbarg': ""Dr. Nicodemus 'Nic' West"", 'Rachel McAdams': 'Dr. Christine Palmer', 'Hayley Atwell': 'Peggy Carter / Captain Carter', 'Anson Mount': 'Blackagar Boltagon / Black Bolt', 'Lashana Lynch': 'Maria Rambeau / Captain Marvel', 'John Krasinski': 'Reed Richards / Mr. Fantastic', 'Patrick Stewart': 'Professor Charles Xavier / Professor X', 'Charlize Theron': 'Clea', 'Bruce Campbell': 'Pizza Poppa', 'Ross Marquand': 'Ultron (voice)', 'Momo Yeung': 'Hong Kong Master', 'Ruth Livier': 'Elena Chavez', 'Joshua Peace': 'NY Passerby 616', 'Cecilia Appiah': 'Waitress', 'Jordan Alexandra': 'Office Worker', 'Michael Waldron': ""Charlie's Best Man"", 'Bridget Hoffman': 'Soul of the Damned (voice)', 'Andrew Morgado': 'Soul of the Damned (voice)', 'Audrey Wasilewski': 'Soul of the Damned (voice)', 'Christian Rummel': 'Soul of the Damned (voice)'}",['Sam Raimi'],"['Marvel Studios', 'Kevin Feige Productions']",200000000,955775804,7,8,0.6126541119089555
